textID,text,len_names,IbnSad_cnt,names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرناه أبوبكر محمد بن عبد الباقي أنا الحسن بن علي أنا أبوعمر بن حيوية أنا أحمد بن معروف أنا الحسن بن الفهم نا محمد بن سعد أنا عبيدالله بن موسى أنا عمر بن أبي زائدة عن,8.00,1, أبوبكر محمد بن عبد الباقي,الحسن بن علي,أبوعمر بن حيوية,أحمد بن معروف,الحسن بن الفهم,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرنا أبو الأعز قراتكين بن الأسعد أنبأ أبو محمد الحسن بن علي أنبأعلي بن محمد بنأحمد بن نصر ثنا محمد بن نصر ثنا محمد بن الحسين بن شهريار ثنا عمرو بن علي الفلاس أبو حفص ح وأخبرنا أبو الفضل بن ناصر أنبأ أبو الفضل بن خيرون أنبأ أبو العلاء بن علي الواسطي أنبأ علي بن الحسن الجراحي ح قال وأنبأ ابن خيرون أنبأ الحسن بن الحسين ثنا جدي لأمي إسحاق بن محمد قالا أنبأعبد الله بن إسحاق ثنا قعنب بن المحور الباهلي قالا شقيق بن سلمة زاد قعنب أسدي أخبرنا أبو القاسم بن السمرقندي أنبأ أبو بكر والحسين بن الفضل أنبأ عبد الله بن جعفر ثنا يعقوب قال أبو وائل شقيق بن سلمة أعتق أبا ال اللفتواني أنبأ أبو عمرو الأصبهاني أنبأ الحسن بن محمد بن يوسف بن أحمد بن أبي الدنيا ثنا محمد بن سعد قال شقيق,24.00,1,أبو الأعز قراتكين بن الأسعد,أبو محمد الحسن بن علي أنبأعلي بن محمد بنأحمد بن نصر,محمد بن نصر,محمد بن الحسين بن شهريار,عمرو بن علي الفلاس أبو حفص ح,أبو الفضل بن ناصر,أبو الفضل بن خيرون,أبو العلاء بن علي الواسطي,علي بن الحسن الجراحي ح,وأنبأ ابن خيرون,الحسن بن الحسين,جدي لأمي إسحاق بن محمد,أنبأعبد الله بن إسحاق,قعنب بن المحور الباهلي,شقيق بن سلمة زاد قعنب أسدي,أبو القاسم بن السمرقندي,أبو بكر والحسين بن الفضل,عبد الله بن جعفر,يعقوب,أبو وائل شقيق بن سلمة أعتق أبا ال اللفتواني,أبو عمرو الأصبهاني,الحسن بن محمد بن يوسف بن أحمد بن أبي الدنيا,محمد بن سعد,شقيق,,,,,,,,,
JK_000916,أخبرنا أبو الأعز قراتكين بن الأسعد أنا أبو محمد الحسن بن علي أنا أبو حفص عمر بن محمد الزيات نا قاسم بن زكريا المطرز نا إسماعيل بن موسى نا عبدالسلام بن حرب عن موسى الصغير عن عباد عن عبد الرحمن بن سابط عن محمد بن سعد وأخبرنا أبو طاهر قراءة نا ابن الأسعد نا أبو محمد الحسن بن علي نا أبو حفص عمر بن محمد بن ثابت أنبأنا ابن المطرز نا أسماعيل بن موسى نا عبد السلام بن حرب عن موسى الصغير عن عباد عن عبد الرحمن بن سابط عن سعد قال,21.00,1,أبو الأعز قراتكين بن الأسعد,أبو محمد الحسن بن علي,أبو حفص عمر بن محمد الزيات,قاسم بن زكريا المطرز,إسماعيل بن موسى,عبدالسلام بن حرب,موسى الصغير,عباد,عبد الرحمن بن سابط,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرنا أبو البركات الأنصاري أنا أبو محمد الجوهري أنا أبو عمر بن حيوية أنا سليمان بن إسحاق نا الحارث بن أبي أسامة نا محمد بن سعد,6.00,1,أبو البركات الأنصاري,أبو محمد الجوهري,أبو عمر بن حيوية,سليمان بن إسحاق,الحارث بن أبي أسامة,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرنا أبو البركات الأنماطي أنا أبو طاهر وأبو الفضل ح وأخبرنا أبو العز أنا أبو طاهر قالا أنا محمد بن الحسن أنا محمد بن أحمد بن إسحاق نا عمر بن أحمد نا خليفة بن خياط قال وأخبرنا أبو بكر اللفتواني أنا أبو مروان أنا أبو أحمد أنا أبو الحسن اللنباني أنا أبو بكر بن أبي الدنيا أنا محمد بن سعد قال,15.00,1,أبو البركات الأنماطي,أبو طاهر وأبو الفضل,أبو العز,أبو طاهر,محمد بن الحسن,محمد بن أحمد بن إسحاق,عمر بن أحمد,خليفة بن خياط,أبو بكر اللفتواني,أبو مروان,أبو أحمد,أبو الحسن اللنباني,أبو بكر بن أبي الدنيا,محمد بن سعد,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرنا أبو البركات الأنماطي أنا أحمد بن الحسن بن خيرون أنا أبو القاسم بن بشران أنا أبو علي بن الصواف نا محمد بن عثمان بن أبي شيبة قال علقمة بن قيس أبو شبل أخبرنا أبو بكر محمد بن شجاع أنا أبو عمرو بن مندة أنا الحسن بن محمد أنا أحمد بن محمد أنا أبو بكر بن أبي الدنيا ثنا محمد بن سعد قال علقمة بن قيس,13.00,1,أبو البركات الأنماطي,أحمد بن الحسن بن خيرون,أبو القاسم بن بشران,أبو علي بن الصواف,محمد بن عثمان بن أبي شيبة,علقمة بن قيس أبو شبل,أبو بكر محمد بن شجاع,أبو عمرو بن مندة,الحسن بن محمد,أحمد بن محمد,أبو بكر بن أبي الدنيا,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرنا أبو البركات اللفتواني أنا أبو عمرو بن مندة أنا الحسن بن محمد بن يوسف أنا أحمد بن محمد بن عمر نا أبو بكر بن أبي الدنيا نا محمد بن سعد,6.00,1,أبو البركات اللفتواني,أبو عمرو بن مندة,الحسن بن محمد بن يوسف,أحمد بن محمد بن عمر,أبو بكر بن أبي الدنيا,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أنبأنا أبو الحسن أنبأنا أبو علي حدثنا محمد بن سعد أنبأنا بكار بن محمد حدثنا ابن عون قال,5,1,أبو الحسن,أبو علي,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أنبأنا أبو الحسن أحمد بن معروف أنبأنا الحسين بن الفهم حدثنا محمد بن سعد أنبأنا عارم بن الفضل حدثنا حماد بن زيد عن ابن عون عن محمد قال,7.00,1,أبو الحسن أحمد بن معروف,الحسين بن الفهم,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JK_000916,أخبرنا أبو الحسن أحمد بن معروف حدثنا الحسين بن الفهم حدثنا محمد بن سعد,3,1,أبو الحسن أحمد بن معروف,الحسين بن الفهم,محمد بن سعد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
